	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
2903633	anim-anim	waiter	that	doctors	dislikes	runs	GSLD_C_sing_syntactic	The waiter that the doctors dislikes runs.	1	8000768228	3340926	19521968	1451937	26702428	4	6	7	8	4	syntactic	0	0
1029992	anim-anim	tailors	near	bankers	love	yachting	GSLS_plur_syntactic	The tailors near the bankers love yachting.	0	154954539	1121681	6179440	210137973	382785	4	7	7	4	8	syntactic	0	0
1520533	anim-anim	judge	beside	waiter	smashes	noisily	GDLD_sing_semantic	The judge beside the waiter smashes noisily.	1	29718597	63704000	3340926	177467	807804	6	5	6	7	7	semantic	0	0
1865654	anim-anim	bakers	by	pilots	love	shopping	GSLS_plur_syntactic	The bakers by the pilots love shopping.	0	4703106084	997597	5455700	210137973	11206466	2	6	6	4	8	syntactic	0	0
4044933	anim-anim	tailor	that	chefs	admires	leaves	GSLD_C_sing_syntactic	The tailor that the chefs admires leaves.	1	8000768228	3371396	752773	929819	59706459	4	6	5	7	6	syntactic	0	0
1552546	inanim-inanim	cars	beside	tractors	dislike	cooking	GDLD_plur_semantic	The cars beside the tractors dislike cooking.	1	29718597	24371897	1908544	6703610	13672366	6	4	8	7	7	semantic	0	0
1514387	anim-anim	dentists	beside	plumbers	smash	suddenly	GDLD_plur_semantic	The dentists beside the plumbers smash suddenly.	1	29718597	1487700	543869	1655337	58025537	6	8	8	5	8	semantic	0	0
5151960	anim-anim	plumbers	beside	waiter	know	english	GSLD_plur_syntactic	The plumbers beside the waiter know English.	0	29718597	543869	3340926	405542218	195298116	6	8	6	4	7	syntactic	0	0
3186254	anim-anim	vet	near	teachers	likes	camping	GSLD_sing_syntactic	The vet near the teachers likes camping.	0	154954539	2597895	73279702	9285296	3430548	4	3	8	5	7	syntactic	0	0
5558065	anim-anim	vet	that	bakers	like	cries	GDLS_C_sing_syntactic	The vet that the bakers like cries.	0	8000768228	2597895	997597	709849832	9051102	4	3	6	4	5	syntactic	0	0
8470988	anim-anim	waiter	by	doctor	dislike	walking	GDLD_sing_syntactic	The waiter by the doctor dislike walking.	1	4703106084	3340926	52110730	6703610	30746983	2	6	6	7	7	syntactic	0	0
1370273	anim-anim	author	that	dentist	hates	sits	GSLS_C_sing_syntactic	The author that the dentist hates sits.	0	8000768228	99092074	3198534	2416713	8154939	4	6	7	5	4	syntactic	0	0
7840018	anim-anim	teacher	beside	waiters	dislike	fencing	GDLS_sing_syntactic	The teacher beside the waiters dislike fencing.	1	29718597	74147301	1363954	6703610	1887055	6	7	7	7	7	syntactic	0	0
6542565	anim-anim	teachers	that	banker	knows	pray	GDLS_C_plur_syntactic	The teachers that the banker knows pray.	0	8000768228	73279702	5135467	50729807	20289141	4	8	6	5	4	syntactic	0	0
10374513	anim-anim	farmers	that	tailors	likes	move	GDLD_C_plur_syntactic	The farmers that the tailors likes move.	1	8000768228	33753767	1121681	9285296	93962800	4	7	7	5	4	syntactic	0	0
1386218	anim-inanim	farmers	near	cranes	love	dancing	GSLD_plur_semantic	The farmers near the cranes love dancing.	0	154954539	33753767	1511645	210137973	15565681	4	7	6	4	7	semantic	0	0
